T=240,24,08:01,17:06,5,9.7,381,3,130,50,,0.82,41.1,YES (1x),+ 1x BlueDex,0.1,0.04,0.64,0.4,0.32,0.88,0.59,0.93,16.06
PD effluent complete drain after rinsing,3,08:02,17:14,4,,80,,,9,,,,YES (1x),+ 1x BlueDex,,,,,,,,,8.91
,42,,,,,,,,,,X,52.1,,,,,,,,,,,126
,,,,,,,,,,,,,,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,%,0.94,1.24,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Draining times,,,75.55555556,,,,,,,,,,,
Preceding dwell ,Physioneal 35 1.36%,2000,2370,190,1840,2265,150,1933,Out,,,,,,,,,,,,,,
SPA dwell,Physioneal 35 1.36%,2000,2365,190,1977,2260,75,1986,In,,,,,,,,,,,,,,
PD fluid for rinsing,Extraneal,2000,2365,200,1968,2260,75,1986,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),ELAR (mL/h),UFV (mL/h),,,,,,,,,,,,,,,,
[Creatinine],209,523,2186,2509,2342.3,82.92,168.22,,,,,,,,,,,,,,,,
,,,,,,,,365,,,,,,,,,,,,,,,
[Albumin],203,432,2180.1,2418.4,2299.2,82.92,147,2299,2297.176502,,,,,,,,,,,,,,
[Dextran] ,787,352,,,,,,,,,,,,,,,,,,,,,
Mean,,,,,,*estimated based on mean ELAR SPA's,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,
,2-h Removal (mmol),MT total (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),MT total (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),2-h Removal Sampling,Removal Sampling,,,,,,,,,,,,
Creatinine,0.5,0.84,3.73,3.81,4.12,#REF!,#REF!,#REF!,#REF!,0.000996,0,,,,,,,,,,,,
Urea,14.85,21.42,6.05,9.07,9.12,#REF!,#REF!,#REF!,#REF!,0.030269767,0.08,,,,,,,,,,,,
Phosphate,1.01,1.81,2.97,2.56,2.93,#REF!,#REF!,#REF!,#REF!,0.002171163,0.01,,,,,,,,,,,,
Potassium,5.69,6.67,8.06,18.63,18.21,,,,,0.010913178,0.03,,,,,,,,,,,,
Glucose,,-46.7,,,,,,,,,1.055117829,,,,,,,,,,,,
Fluid parameters:,,,,,,,,,,,,,,,,,,,,,,,
Sample,Time code,Time,Blue dextran,Sample volume,IPV,ELAR,UFV,UFR,,"Dx0, absolute amount of Dextran at T=0",,,,0.463,,,,,,,,,
,,min,g/L,mL,mL,mL,mL,L/min,,"Dxt, absolute amount of Dextran at T=240",,,,0.506,,,,,,,,,
T=-1,00:02,0,0.23407862,,1977.27,,,,,Dx geometric,,,,3.2,,,,,,,,,
T=0,00:03,0,0.16743702,4,2180.07,,,,,ELAR (mL/min),,,,-0.056,,,,,,,,,
T=10,00:11,10,0.178432884,4,2042.53,-0.56,-134.1,-0.013409955,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,,
T=60,01:01,60,0.164604752,4,2212.6,-2.81,171.25,0.003425064,,,,,,,,,,,,,,,
T=120,02:01,120,0.166437396,3,2187.65,-3.37,-24.32,-0.000405314,,,,,,,,,,,,,,,
T=180,03:01,180,0.1707691,3,2132.6,-3.37,-55.42,-0.000923591,,,,,,,,,,,,,,,
T=240,04:01,240,0.174767596,25,2084.25,-3.37,-48.72,-0.000812051,,,,,,,,,,,,,,,
Drain,,,0.026490036,18,2149.060169,-13.49,-91.3,,,,,,,,,,,,,,,,
,,,,,,-13.49,-91.3,,,,,,,,,,,,,,,,
,,,,,,-3.37,-22.83,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Abbreviations,,,,,,,,,,,,,,,,,,,,,,,
IPV (ml),Intraperitoneal volume = (C0 * V0)/Cn - (Abs * tn),,,,,,,,,,,,,,,,,,,,,,
UFV (ml),Ultrafiltration volume,,,,,,,,,,,,,,,,,,,,,,
LA (ml),Lymphatic absorption,,,,,,,,,,,,,,,,,,,,,,
Th IPV (m),Theoretical IPV,,,,,,,,,,,,,,,,,,,,,,
NUFR (ml/min),Netto Ultrafiltration Rate,,,,,,,,,,,,,,,,,,,,,,
TCUFR (ml/min),Transcappilary ultrafiltration rate,,,,,,,,,,,,,,,,,,,,,,
ELAR (ml/min),Effective lymphatic absorption rate,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Formulas,,,,,,,,,,,,,,,,,,,,,,,
Na Sieving ,?Dna =,[Dna]60 - [Dna]0,,i.e. Initial drop in [Dna] due to transcallular UF of water through aquaporins,,,,,,,,,,,,,,,,,,,
Residual volume (RV),RV = (V*[total protein]1 / [total protein]2) - V,,,,,,,,,,,,,,,,,,,,,,
,"V = volume of PD fluid instilled, [total protein]1 = total protein concentration in residual volume, [total protein]2 = total, protein concentration after PD fluid has been instilled.",,,,,,,,,,,,,,,,,,,,,,
"Effective Lymphatic Reabsorption (ELAR, mL/min)",ELAR (ml/min) =,(Dx0 -Dxt) / [Dxgeom] x ?t,,,,,,,,,,,,,,,,,,,,,
Intraperitoneal volume (mL) (blue dextran),Vt2 =,((Dt1 * Vt1)/Dt2) - (ELAR *?t),,,,,,,,,,,,,,,,,,,,,
,,"Where Dt1 = dialysate dextran concentration at t1, Dt2 = dialysate dextran concentration at t2, Vt1 = intraperitoneal volume at t1, ELAR = dextran absorption rate, ?t = time interval between two consecutive time points",,,,,,,,,,,,,,,,,,,,,
Ultrafiltration volume (mL),UF = ,(RV0 + V0) - (RVt + Vt) + Vsamples + ELAR,,,,,,,,,,,,,,,,,,,,,
,,"UF = net ultrafiltration volume, RV0 = residual volume at t=0, RVt = residual volume at t=x min, V0 = instilled dialysate volume, Vt = drained dialysate volume, V samples = total sample volume, ELAR = effective lymphatic reabsorption",,,,,,,,,,,,,,,,,,,,,
MTAC according to Garred,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
MTAC according to Waniewski,,,,,,,,,,,,,,,,,,,,,,,
