SPA dwell,Physioneal 35 1.36%,2000,2370,190,1982,2265,150,1923,IN,,OUT,,,,,,,,,,,,
PD fluid for second spa,Physioneal 35 1.36%,2000,2365,190,1977,2260,75,1986,IN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),ELAR (mL/h),UFV (mL/h),,,,,,,,,,,,,,,,
[Creatinine],196,209,2178,2132,2154.8,82.92,75.8,,,,,,,,,,,,,,,,
,,,,,,,,-3,,,,,,,,,,,,,,,
[Albumin],61,203,2042.5,2125.5,2084,82.92,108.18,2084,2083.729525,,,,,,,,,,,,,,
[Dextran] ,1008,#VALUE!,,,,,,,,,,,,,,,,,,,,,
Mean,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,
,2-h Removal (mmol),MT total (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),MT total (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),2-h Removal Sampling,Removal Sampling,,,,,,,,,,,,
Creatinine,0.45,0.71,3.02,3.68,3.79,0.96,4.1,6.8,6.5,0.001456,0,,,,,,,,,,,,
Urea,14.78,21.2,5.83,9.63,9.62,24.44,6.7,13.4,14,0.029524752,0.08,,,,,,,,,,,,
Phosphate,1,1.53,2.34,2.54,2.67,2.09,3.2,5.6,5,0.00352,0.01,,,,,,,,,,,,
Potassium,5.14,6.21,7.4,16.64,16.49,,,,,0.009541914,0.03,,,,,,,,,,,,
Glucose,,-69,,,,,,,,,1.060686909,,,,,,,,,,,,
Fluid parameters:,,,,,,,,,,,,,,,,,,,,,,,
Sample,Time code,Time,Blue dextran,Sample volume,IPV,ELAR,UFV,UFR,,"Dx0, absolute amount of Dextran at T=0",,,,0.444,,,,,,,,,
,,min,g/L,mL,mL,mL,mL,L/min,,"Dxt, absolute amount of Dextran at T=240",,,,0.392,,,,,,,,,
T=-1,00:02,0,0.223915776,,1981.82,,,,,Dx geometric,,,,0.2,,,,,,,,,
T=0,00:03,0,0.148444164,4,2989.41,,,,,ELAR (mL/min),,,,1.382,,,,,,,,,
T=10,00:11,10,0.15327568,4,2877.48,13.82,-94.11,-0.009410529,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,,
T=60,01:01,60,0.149776996,4,2871.51,69.1,67.12,0.001342451,,,,,,,,,,,,,,,
T=120,02:01,120,0.15160964,3,2749.92,82.92,-34.66,-0.000577703,,,,,,,,,,,,,,,
T=180,03:01,180,0.158607008,3,2542.82,82.92,-121.19,-0.002019797,,,,,,,,,,,,,,,
T=240,04:01,240,0.165604376,25,2349.58,82.92,-107.32,-0.001788603,,,,,,,,,,,,,,,
,,,,18,2694.444633,331.68,-290.15,,,,,,,,,,,,,,,,
,,,,,,331.68,-290.15,,,,,,,,,,,,,,,,
,,,,,,82.92,-72.54,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Abbreviations,,,,,,,,,,,,,,,,,,,,,,,
IPV (ml),Intraperitoneal volume = (C0 * V0)/Cn - (Abs * tn),,,,,,,,,,,,,,,,,,,,,,
UFV (ml),Ultrafiltration volume,,,,,,,,,,,,,,,,,,,,,,
LA (ml),Lymphatic absorption,,,,,,,,,,,,,,,,,,,,,,
Th IPV (m),Theoretical IPV,,,,,,,,,,,,,,,,,,,,,,
NUFR (ml/min),Netto Ultrafiltration Rate,,,,,,,,,,,,,,,,,,,,,,
TCUFR (ml/min),Transcappilary ultrafiltration rate,,,,,,,,,,,,,,,,,,,,,,
ELAR (ml/min),Effective lymphatic absorption rate,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Formulas,,,,,,,,,,,,,,,,,,,,,,,
Na Sieving ,?Dna =,[Dna]60 - [Dna]0,,i.e. Initial drop in [Dna] due to transcallular UF of water through aquaporins,,,,,,,,,,,,,,,,,,,
Residual volume (RV),RV = (V*[total protein]1 / [total protein]2) - V,,,,,,,,,,,,,,,,,,,,,,
,"V = volume of PD fluid instilled, [total protein]1 = total protein concentration in residual volume, [total protein]2 = total, protein concentration after PD fluid has been instilled.",,,,,,,,,,,,,,,,,,,,,,
"Effective Lymphatic Reabsorption (ELAR, mL/min)",ELAR (ml/min) =,(Dx0 -Dxt) / [Dxgeom] x ?t,,,,,,,,,,,,,,,,,,,,,
Intraperitoneal volume (mL) (blue dextran),Vt2 =,((Dt1 * Vt1)/Dt2) - (ELAR *?t),,,,,,,,,,,,,,,,,,,,,
,,"Where Dt1 = dialysate dextran concentration at t1, Dt2 = dialysate dextran concentration at t2, Vt1 = intraperitoneal volume at t1, ELAR = dextran absorption rate, ?t = time interval between two consecutive time points",,,,,,,,,,,,,,,,,,,,,
Ultrafiltration volume (mL),UF = ,(RV0 + V0) - (RVt + Vt) + Vsamples + ELAR,,,,,,,,,,,,,,,,,,,,,
,,"UF = net ultrafiltration volume, RV0 = residual volume at t=0, RVt = residual volume at t=x min, V0 = instilled dialysate volume, Vt = drained dialysate volume, V samples = total sample volume, ELAR = effective lymphatic reabsorption",,,,,,,,,,,,,,,,,,,,,
MTAC according to Garred,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
MTAC according to Waniewski,,,,,,,,,,,,,,,,,,,,,,,
