Mean,,,,*Ook obv de blue dextran concentraties gedurende de dwell lijkt het IPV op T=240 ca. 3800 mL te zijn.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,
,2-h Removal (mmol),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),2-h Removal sampling,Removal Sampling,,,,,,,,,,,,
Creatinine,-0.1,-0.01,-0.17,8.28,7.24,0.31,3.4,8.1,7.1,0.005241044,0.01,,,,,,,,,,,,
Urea,-1.51,3.17,0.94,16.9,17.53,19.09,5.7,17,17.7,0.264371774,0.4,, ,,,,,,,,,,
Phosphate,-0.76,-0.29,-0.41,7.37,6.15,2.07,3,7.1,6,0.039845,0.06,,,,,,,,,,,,
Potassium,8.37,9.7,8.6,31.89,35.43,,,,,0.082875,0.12,,,,,,,,,,,,
Glucose,,-96.4,,,,,,,,,2.0124,,,,,,,,,,,,
Fluid parameters:,,,,,,,,,,,,,,,,,,,,,,,
Sample,Time code,Time,Blue dextran,Sample volume,IPV,ELAR,UFV,UFR,,,,,,,,,,,,,,,
,,min,g/L,mL,mL,mL,mL,L/min,,,,,,,,,,,,,,,
T=-1,,,0.36,,1927,,,,,,,,,,,,,,,,,,
T=0,00:03,0,,6.5,,,,,,,,,,,,,,,,,,,
T=10,00:11,10,0.156,6.5,4509.09,0,0,0,,,,,,,,,,,,,,,
T=20,00:21,20,0.153,6.5,4525.72,51.96190389,75.09,0.007509396,,,,,,,,,,,,,,,
T=30,00:31,30,0.155,6.5,4409.39,51.96190389,-57.87,-0.005787159,,,,,,,,,,,,,,,
T=60,01:01,60,0.155,6.5,4259.37,155.8857117,12.37,0.000412283,,,,,,,,,,,,,,,
T=120,02:01,120,0.152,6.5,4015.78,311.7714233,74.68,0.001244591,,,,,,,,,,,,,,,
T=180,03:01,180,0.15,6.5,3742.2,311.7714233,44.7,0.00074494,,,,,,,,,,,,,,,
T=240,04:01,240,0.152,6.5,3382.74,311.7714233,-41.19,-0.000686456,,,,,,,,,,,,,,,
,,,,39,3990.816635,1195.123789,107.78,,,,,,,,,,,,,,,,
,,,,,Mean IPV,1195.123789,107.78,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Abbreviations,,,,,,,,,,,,,,,,,,,,,,,
IPV (ml),Intraperitoneal volume = (C0 * V0)/Cn - (Abs * tn),,,,,,,,,,,,,,,,,,,,,,
UFV (ml),Ultrafiltration volume,,,,,,,,,,,,,,,,,,,,,,
LA (ml),Lymphatic absorption,,,,,,,,,,,,,,,,,,,,,,
Th IPV (m),Theoretical IPV,,,,,,,,,,,,,,,,,,,,,,
NUFR (ml/min),Netto Ultrafiltration Rate,,,,,,,,,,,,,,,,,,,,,,
TCUFR (ml/min),Transcappilary ultrafiltration rate,,,,,,,,,,,,,,,,,,,,,,
ELAR (ml/min),Effective lymphatic absorption rate,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Formulas,,,,,,,,,,,,,,,,,,,,,,,
Na Sieving ,?Dna =,[Dna]60 - [Dna]0,,i.e. Initial drop in [Dna] due to transcallular UF of water through aquaporins,,,,,,,,,,,,,,,,,,,
Residual volume (RV),RV = (V*[total protein]1 / [total protein]2) - V,,,,,,,,,,,,,,,,,,,,,,
,"V = volume of PD fluid instilled, [total protein]1 = total protein concentration in residual volume, [total protein]2 = total, protein concentration after PD fluid has been instilled.",,,,,,,,,,,,,,,,,,,,,,
"Effective Lymphatic Reabsorption (ELAR, mL/min)",ELAR (ml/min) =,(Dx0 -Dxt) / [Dxgeom] x ?t,,,,,,,,,,,,,,,,,,,,,
Intraperitoneal volume (mL) (blue dextran),Vt2 =,((Dt1 * Vt1)/Dt2) - (ELAR *?t),,,,,,,,,,,,,,,,,,,,,
,,"Where Dt1 = dialysate dextran concentration at t1, Dt2 = dialysate dextran concentration at t2, Vt1 = intraperitoneal volume at t1, ELAR = dextran absorption rate, ?t = time interval between two consecutive time points",,,,,,,,,,,,,,,,,,,,,
Ultrafiltration volume (mL),UF = ,(RV0 + V0) - (RVt + Vt) + Vsamples + ELAR,,,,,,,,,,,,,,,,,,,,,
,,"UF = net ultrafiltration volume, RV0 = residual volume at t=0, RVt = residual volume at t=x min, V0 = instilled dialysate volume, Vt = drained dialysate volume, V samples = total sample volume, ELAR = effective lymphatic reabsorption",,,,,,,,,,,,,,,,,,,,,
MTAC according to Garred,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
MTAC according to Waniewski,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RV blue dextran,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,RV,residual volume,,,,,,,,,,,,,,,,,,,,,
,V2,volume of rinsing solution spiked with blue dextran,,,,,,,,,,,,,,,,,,,,,
,C1,blue dextran concentration in residual volume,,,,,,,,,,,,,,,,,,,,,
,C2,blue dextran concentration in fresh PN bag,,,,,,,,,,,,,,,,,,,,,
,C3,blue dextran concentration after infusion of PN spiked with blue dextran,,,,,,,,,,,,,,,,,,,,,
